330 U.S. 1,67 S. Ct. 504,91 L. Ed. 711,1947 U.S. LEXIS 2959,EVERSON v. BOARD OF EDUCATION OF THE TOWNSHIP OF EWING ET AL.,2/10/1947,2
330 U.S. 75,67 S. Ct. 556,91 L. Ed. 754,1947 U.S. LEXIS 2960,UNITED PUBLIC WORKERS OF AMERICA (C. I. O.) ET AL. v. MITCHELL ET AL.,2/10/1947,2
330 U.S. 127,67 S. Ct. 544,91 L. Ed. 794,1947 U.S. LEXIS 2860,OKLAHOMA v. UNITED STATES CIVIL SERVICE COMMISSION,2/10/1947,2
330 U.S. 158,67 S. Ct. 644,91 L. Ed. 816,1947 U.S. LEXIS 2958,"WALLING, WAGE AND HOUR ADMINISTRATOR, v. NASHVILLE, CHATTANOOGA & ST. LOUIS RAILWAY",2/17/1947,2
330 U.S. 160,67 S. Ct. 645,91 L. Ed. 818,1947 U.S. LEXIS 2647,BOZZA v. UNITED STATES,2/17/1947,6
330 U.S. 169,67 S. Ct. 650,91 L. Ed. 823,1947 U.S. LEXIS 2648,CONFEDERATED BANDS OF UTE INDIANS v. UNITED STATES,2/17/1947,2
330 U.S. 183,67 S. Ct. 657,91 L. Ed. 832,1947 U.S. LEXIS 2649,ANGEL v. BULLINGTON,2/17/1947,3
330 U.S. 212,67 S. Ct. 752,91 L. Ed. 849,1947 U.S. LEXIS 2582,CONE v. WEST VIRGINIA PULP & PAPER CO.,3/3/1947,3
330 U.S. 219,67 S. Ct. 756,91 L. Ed. 854,1947 U.S. LEXIS 2955,NATIONAL LABOR RELATIONS BOARD v. DONNELLY GARMENT CO. ET AL.,3/3/1947,4
330 U.S. 238,67 S. Ct. 742,91 L. Ed. 868,1947 U.S. LEXIS 2893,"UNITED STATES v. POWELL ET AL., RECEIVERS",3/3/1947,2
330 U.S. 248,67 S. Ct. 747,91 L. Ed. 876,1947 U.S. LEXIS 2859,NORTHERN PACIFIC RAILWAY CO. v. UNITED STATES,3/3/1947,2
330 U.S. 258,67 S. Ct. 677,91 L. Ed. 884,1947 U.S. LEXIS 2954,UNITED STATES v. UNITED MINE WORKERS OF AMERICA,3/6/1947,2
330 U.S. 386,67 S. Ct. 810,91 L. Ed. 967,1947 U.S. LEXIS 2950,TESTA ET AL. v. KATT,3/10/1947,4
330 U.S. 395,67 S. Ct. 775,91 L. Ed. 973,1947 U.S. LEXIS 2951,UNITED BROTHERHOOD OF CARPENTERS AND JOINERS OF AMERICA v. UNITED STATES,3/10/1947,4
330 U.S. 422,67 S. Ct. 815,91 L. Ed. 993,1947 U.S. LEXIS 2872,"JOSEPH, COMPTROLLER, et al. v. CARTER & WEEKES STEVEDORING CO.",3/10/1947,2
330 U.S. 446,67 S. Ct. 847,91 L. Ed. 1011,1947 U.S. LEXIS 2873,"AMERICAN STEVEDORES, INC. v. PORELLO ET AL.",3/10/1947,7
330 U.S. 464,67 S. Ct. 798,91 L. Ed. 1024,1947 U.S. LEXIS 2550,AETNA CASUALTY & SURETY CO. ET AL. v. FLOWERS,3/10/1947,4
330 U.S. 469,67 S. Ct. 801,91 L. Ed. 1028,1947 U.S. LEXIS 2874,"CARDILLO, DEPUTY COMMISSIONER, UNITED STATES EMPLOYEES' COMPENSATION COMMISSION, v. LIBERTY MUTUAL INSURANCE CO. ET AL.",3/10/1947,3
330 U.S. 485,67 S. Ct. 789,91 L. Ed. 1040,1947 U.S. LEXIS 2854,PACKARD MOTOR CAR CO. v. NATIONAL LABOR RELATIONS BOARD,3/10/1947,2
330 U.S. 501,67 S. Ct. 839,91 L. Ed. 1055,1947 U.S. LEXIS 2551,"GULF OIL CORP. v. GILBERT, DOING BUSINESS AS GILBERT STORAGE & TRANSFER CO.",3/10/1947,3
330 U.S. 518,67 S. Ct. 828,91 L. Ed. 1067,1947 U.S. LEXIS 2552,KOSTER v. (AMERICAN) LUMBERMENS MUTUAL CASUALTY CO.,3/10/1947,2
330 U.S. 539,67 S. Ct. 891,91 L. Ed. 1082,1947 U.S. LEXIS 2526,"UNITED STATES DEPARTMENT OF AGRICULTURE, EMERGENCY CROP AND FEED LOANS v. REMUND, ADMINISTRATOR",3/17/1947,3
330 U.S. 545,67 S. Ct. 883,91 L. Ed. 1088,1947 U.S. LEXIS 2944,"WALLING, WAGE AND HOUR ADMINISTRATOR, v. GENERAL INDUSTRIES CO.",3/31/1947,2
330 U.S. 552,67 S. Ct. 910,91 L. Ed. 1093,1947 U.S. LEXIS 2870,KOTCH ET AL. v. BOARD OF RIVER PORT PILOT COMMISSIONERS FOR THE PORT OF NEW ORLEANS ET AL.,3/31/1947,2
330 U.S. 567,67 S. Ct. 894,91 L. Ed. 1102,1947 U.S. LEXIS 2871,"INTERSTATE COMMERCE COMMISSION v. MECHLING, DOING BUSINESS AS A. L. MECHLING BARGE LINE, ET AL.",3/31/1947,2
330 U.S. 585,67 S. Ct. 918,91 L. Ed. 1117,1947 U.S. LEXIS 2471,PENFIELD COMPANY OF CALIFORNIA ET AL. v. SECURITIES & EXCHANGE COMMISSION,3/31/1947,2
